timestamp,conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,currency,localSymbol,tradingClass,time,minTick,bid,bidSize,ask,askSize,last,lastSize,high,low,volume,close,bboExchange,snapshotPermissions,undPrice,bid_impliedVol,bid_delta,bid_optPrice,bid_pvDividend,bid_gamma,bid_vega,bid_theta,bid_undPrice,ask_impliedVol,ask_delta,ask_optPrice,ask_pvDividend,ask_gamma,ask_vega,ask_theta,ask_undPrice,last_impliedVol,last_delta,last_optPrice,last_pvDividend,last_gamma,last_vega,last_theta,last_undPrice,model_impliedVol,model_delta,model_optPrice,model_pvDividend,model_gamma,model_vega,model_theta,model_undPrice
2025-03-18 22:59:50,767950566,SPY,20250318,533.0,C,100,SMART,USD,SPY   250318C00533000,SPY,2025-03-18 19:59:45.226779+00:00,0.01,26.94,31.0,28.18,1.0,26.44,1.0,28.11,26.44,2.0,34.22,c70003,3,560.635,,,27.049999237060547,0.0,,-2.0,-2.0,560.5999755859375,6.045575343981812,0.9352892703650703,28.18000030517578,0.0,0.006704594699611991,0.003932178922642748,-0.6292778453097299,560.5499877929688,,,26.440000534057617,0.0,,-2.0,-2.0,560.5999755859375,0.505990071678359,1.0000130939450345,27.1603840256435,0.0,9.285414945530267e-14,-1.7692514120426495e-12,-0.008528556893498518,560.15185546875
2025-03-18 22:59:50,767950595,SPY,20250318,534.0,C,100,SMART,USD,SPY   250318C00534000,SPY,2025-03-18 19:59:45.226901+00:00,0.01,25.94,32.0,27.19,43.0,25.43,1.0,27.09,25.43,3.0,33.22,c70003,3,560.635,,,26.049999237060547,0.0,,-2.0,-2.0,560.5999755859375,5.826630755635483,0.9350207414901556,27.18000030517578,0.0,0.006979086403697462,0.003935897169466074,-0.6292764669478856,560.5499877929688,,,25.43000030517578,0.0,,-2.0,-2.0,560.5999755859375,0.5063183762851948,1.000013093944939,26.16038612671509,0.0,-4.63668861893385e-14,-7.034373084024992e-13,-0.008530657965089006,560.15185546875
2025-03-18 22:59:50,766260630,SPY,20250318,535.0,C,100,SMART,USD,SPY   250318C00535000,SPY,2025-03-18 19:59:45.226901+00:00,0.01,24.94,43.0,26.19,43.0,26.2,1.0,26.2,25.8,3.0,32.22,c70003,3,560.635,,,25.020000457763672,0.0,,-2.0,-2.0,560.5999755859375,5.423755502840638,0.9410889058438748,26.18000030517578,0.0,0.0069485059386626144,0.003939624104720707,-0.6292750885859277,560.5499877929688,0.7110160319960485,0.999999999999999,26.200000762939453,0.0,-6.832502647317292e-14,8.597567102697212e-13,-0.06523569811766447,560.5499877929688,0.5074714108448257,1.0000130939449818,25.160388227789475,0.0,4.615642354436155e-14,-2.8386182293616002e-12,-0.00853275903947548,560.15185546875
2025-03-18 22:59:50,766260640,SPY,20250318,536.0,C,100,SMART,USD,SPY   250318C00536000,SPY,2025-03-18 19:59:45.227064+00:00,0.01,23.94,42.0,25.19,45.0,,,,,,31.22,c70003,3,560.635,,,24.049999237060547,0.0,,-2.0,-2.0,560.5999755859375,5.462765583443615,0.9319478401754905,25.18000030517578,0.0,0.007719785479305993,0.003943312121990061,-0.6292737102239698,560.5499877929688,,,,0.0,,-2.0,-2.0,560.5999755859375,0.5094327954225403,1.0000130939449547,24.160390328862857,0.0,9.160338178116432e-14,-2.092548356813495e-12,-0.008534860112856535,560.15185546875
2025-03-18 22:59:50,766260660,SPY,20250318,537.0,C,100,SMART,USD,SPY   250318C00537000,SPY,2025-03-18 19:59:45.226901+00:00,0.01,23.41,30.0,23.71,10.0,,,,,,30.22,c70003,3,560.635,,,23.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,5.281346269907776,0.9302596119239944,23.709999084472656,0.0,0.00814157874080564,0.003947012684157869,-0.1592711111590006,560.5499877929688,,,,0.0,,-2.0,-2.0,560.5999755859375,0.5121956740319356,1.0000130939450687,23.160392429933836,0.0,9.061779583166187e-14,-2.5224267119483557e-13,-0.008536961183835956,560.15185546875
2025-03-18 22:59:50,766260678,SPY,20250318,538.0,C,100,SMART,USD,SPY   250318C00538000,SPY,2025-03-18 19:59:45.226901+00:00,0.01,23.06,40.0,23.33,50.0,,,,,,29.22,c70003,3,560.635,,,22.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,5.124485378617422,0.9275988891439078,22.709999084472656,0.0,0.008645174310566611,0.0039507077394453916,-0.1592697327970427,560.5499877929688,,,,0.0,,-2.0,-2.0,560.5999755859375,1.1816543128901669,1.000013093944908,22.160394531007,0.0,-4.467944308707463e-14,-4.547473508864641e-13,-0.008539062257000296,560.15185546875
2025-03-18 22:59:50,766260695,SPY,20250318,539.0,C,100,SMART,USD,SPY   250318C00539000,SPY,2025-03-18 19:59:45.227064+00:00,0.01,21.41,30.0,21.71,10.0,21.83,5.0,21.83,21.83,5.0,28.22,c70003,3,560.635,,,21.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,4.967920808996128,0.9247741036336411,21.709999084472656,0.0,0.009196065816827925,0.003954398908454948,-0.1592683544351985,560.5499877929688,0.7267166337043609,0.9999999999999039,21.829999923706055,0.0,3.6509769873374144e-13,2.842170943040401e-14,-0.0657234417501606,560.5499877929688,0.5203191108152149,1.0000130939449128,21.16039663208083,0.0,-4.3905179342917724e-14,7.815970093361102e-13,-0.008541163330828994,560.15185546875
2025-03-18 22:59:50,766260720,SPY,20250318,540.0,C,100,SMART,USD,SPY   250318C00540000,SPY,2025-03-18 19:59:45.227064+00:00,0.01,20.41,30.0,20.71,10.0,21.1,1.0,24.22,19.82,15.0,27.23,c70003,3,560.635,,,20.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,4.787477850910147,0.9226548708182417,20.709999084472656,0.0,0.00975916240008441,0.004424875726677158,-0.15926697607324058,560.5499877929688,0.7816455675931006,0.999999999999999,21.100000381469727,0.0,-2.349450899372456e-13,-1.6555645743210334e-12,-0.06584537759542688,560.5499877929688,0.5259726273560442,1.0000130939449596,20.16039873315399,0.0,-4.296640556365094e-14,1.0516032489249483e-12,-0.008543264403989781,560.15185546875
2025-03-18 22:59:50,766260735,SPY,20250318,541.0,C,100,SMART,USD,SPY   250318C00541000,SPY,2025-03-18 19:59:45.227064+00:00,0.01,19.41,30.0,19.71,10.0,,,19.72,19.72,1.0,26.23,c70003,3,560.635,,,19.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,3.811506092491229,0.954249171357625,19.709999084472656,0.0,0.00808530075512483,0.002868841450187176,-0.15926559771139637,560.5499877929688,,,,0.0,,-2.0,-2.0,560.5999755859375,0.5330354436627652,1.0000130939449638,19.16040083422638,0.0,8.367064735346696e-14,-1.9539925233402755e-13,-0.00854536547637963,560.15185546875
2025-03-18 22:59:50,766260748,SPY,20250318,542.0,C,100,SMART,USD,SPY   250318C00542000,SPY,2025-03-18 19:59:45.227064+00:00,0.01,18.41,30.0,18.71,10.0,,,18.64,18.64,1.0,25.23,c70003,3,560.635,,,18.469999313354492,0.0,,-2.0,-2.0,560.5999755859375,4.451732154396006,0.9152769844339919,18.709999084472656,0.0,0.011203884566959532,0.0052565174966971995,-0.15926421934943846,560.5499877929688,,,,0.0,,-2.0,-2.0,560.5999755859375,0.5418412204197877,1.0000130939450196,18.160402935300215,0.0,0.0,1.5241141682054149e-12,-0.008547466550215432,560.15185546875
