conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,currency,localSymbol,tradingClass,time,minTick,bid,bidSize,ask,askSize,last,lastSize,high,low,volume,close,bboExchange,snapshotPermissions,undPrice,bid_impliedVol,bid_delta,bid_optPrice,bid_pvDividend,bid_gamma,bid_vega,bid_theta,bid_undPrice,ask_impliedVol,ask_delta,ask_optPrice,ask_pvDividend,ask_gamma,ask_vega,ask_theta,ask_undPrice,last_impliedVol,last_delta,last_optPrice,last_pvDividend,last_gamma,last_vega,last_theta,last_undPrice,model_impliedVol,model_delta,model_optPrice,model_pvDividend,model_gamma,model_vega,model_theta,model_undPrice
767949254,SPY,20250317,539.0,C,100,SMART,USD,SPY   250317C00539000,SPY,2025-03-17 17:55:03.158840+00:00,0.01,27.63,57.0,28.83,10.0,,,,,,24.07,c70003,3,567.1800000000001,,,27.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.387488538169921,0.9082049545195596,28.829999923706055,0.0,0.007449937947387042,0.015485604676388931,-0.563581183469978,567.260009765625,,,,0.0,,-2.0,-2.0,567.269775390625,1.858965870267858,0.99999999999999,27.84344482421875,0.0,-1.9666694605448967e-14,2.9558577807620168e-12,-0.0,567.333740234375
765590721,SPY,20250317,540.0,C,100,SMART,USD,SPY   250317C00540000,SPY,2025-03-17 17:55:04.163832+00:00,0.01,26.7,34.0,28.48,182.0,,,24.1,23.82,4.0,23.07,c70003,3,567.1800000000001,,,26.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.406609150487268,0.8986210323543213,28.479999542236328,0.0,0.00796315855642297,0.015500239765138701,-1.2135689115093555,567.260009765625,,,,0.0,,-2.0,-2.0,567.269775390625,1.7883333802112116,1.0000000000000087,26.84344482421875,0.0,1.1204889451745746e-13,4.206412995699793e-12,-0.0,566.8434448242188
767949271,SPY,20250317,541.0,C,100,SMART,USD,SPY   250317C00541000,SPY,2025-03-17 17:55:04.163832+00:00,0.01,25.63,69.0,27.47,77.0,23.0,3.0,25.15,23.0,9.0,22.08,c70003,3,567.1800000000001,,,25.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.3617297232729038,0.8945169058245827,27.469999313354492,0.0,0.008364026670721498,0.015514710213423655,-1.20355679213651,567.260009765625,0.7908390876135015,0.9998990228627216,23.0,0.0,5.4036648324194564e-05,3.258887312540537e-05,-0.0,567.260009765625,1.6887580922936083,0.9999999999999014,25.84344482421875,0.0,-6.6195741435790284e-15,0.0,-0.0,566.8434448242188
767949284,SPY,20250317,542.0,C,100,SMART,USD,SPY   250317C00542000,SPY,2025-03-17 17:55:04.164613+00:00,0.01,23.92,279.0,26.47,8.0,,,22.93,22.37,2.0,21.09,c70003,3,567.1800000000001,,,24.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.2977655095347944,0.8919105944758726,26.469999313354492,0.0,0.008759450507068155,0.0155291162917095,-1.2035449016456141,567.260009765625,,,,0.0,,-2.0,-2.0,567.269775390625,1.647454020026955,0.9999999999998496,24.84344482421875,0.0,-1.460618379034094e-13,-1.4779288903810084e-12,-0.0,566.8434448242188
767949306,SPY,20250317,543.0,C,100,SMART,USD,SPY   250317C00543000,SPY,2025-03-17 17:55:04.164688+00:00,0.01,22.93,228.0,25.5,160.0,,,23.07,20.75,4.0,20.09,c70003,3,567.1800000000001,,,23.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.1317966640972426,0.8986312396499035,25.5,0.0,0.008987900656489559,0.015543125815241865,-1.233533697800226,567.260009765625,,,,0.0,,-2.0,-2.0,567.269775390625,0.549991985995778,1.0000000000000075,24.33374023437841,0.0,2.6914718243912165e-14,-6.821210263296962e-13,-3.410605131648481e-12,567.333740234375
767949324,SPY,20250317,544.0,C,100,SMART,USD,SPY   250317C00544000,SPY,2025-03-17 17:55:04.164810+00:00,0.01,21.92,188.0,23.86,10.0,21.75,17.0,22.1,21.17,38.0,19.1,c70003,3,567.1800000000001,,,22.670000076293945,0.0,,-2.0,-2.0,567.269775390625,2.0681652305130798,0.8958834474559564,23.860000610351562,0.0,0.009454755103509337,0.015557459147299113,-0.593522417660779,567.260009765625,0.7134901957925058,0.9998675020476226,21.75,0.0,7.747908412729932e-05,6.942400626286371e-05,-0.0,567.260009765625,1.5244820031504895,1.0000000000001197,22.843444824221137,0.0,5.318569699013448e-14,0.0,-2.3874235921539366e-12,566.8434448242188
765911459,SPY,20250317,545.0,C,100,SMART,USD,SPY   250317C00545000,SPY,2025-03-17 17:55:04.164950+00:00,0.01,21.21,34.0,23.58,186.0,19.65,1.0,21.02,18.38,11.0,18.11,c70003,3,567.1800000000001,,,21.670000076293945,0.0,,-2.0,-2.0,567.269775390625,1.9919094875922794,0.8942622594161761,23.579999923706055,0.0,0.009932993528820344,0.015571710525939864,-1.3135098405243752,567.260009765625,0.6889353711961927,0.999841117643853,19.649999618530273,0.0,9.486766160768736e-05,6.948159349562388e-05,-0.0,567.260009765625,1.2146717059719145,0.9999999999999963,21.84344482421909,0.0,-1.991634599835497e-14,-5.002220859751105e-12,-3.410605131648481e-13,566.8434448242188
767949341,SPY,20250317,546.0,C,100,SMART,USD,SPY   250317C00546000,SPY,2025-03-17 17:55:04.165101+00:00,0.01,20.01,68.0,22.49,68.0,19.7,4.0,19.7,18.26,36.0,17.13,c70003,3,567.1800000000001,,,20.010000228881836,0.0,,-2.0,-2.0,567.269775390625,2.031034975151118,0.8788015593090102,22.489999771118164,0.0,0.010719792922341907,0.019837328052339842,-1.2234977974455887,567.260009765625,0.9426310920153103,0.993768707679779,19.700000762939453,0.0,0.002006901307456999,0.0015435959002623179,-0.0,567.260009765625,1.433252311088697,1.0000000000000464,20.84344482421932,0.0,-1.9868429504908697e-14,1.3642420526593924e-12,-5.684341886080801e-13,566.8434448242188
767949360,SPY,20250317,547.0,C,100,SMART,USD,SPY   250317C00547000,SPY,2025-03-17 17:55:04.165198+00:00,0.01,19.01,31.0,21.58,159.0,,,19.15,17.04,3.0,16.15,c70003,3,567.1800000000001,,,19.010000228881836,0.0,,-2.0,-2.0,567.269775390625,1.8764181969824458,0.8860702499774549,21.579999923706055,0.0,0.011133074970494794,0.019854965111225198,-1.3134860595425835,567.260009765625,,,,0.0,,-2.0,-2.0,567.269775390625,1.351124817982158,0.9999999999999923,19.84344482421875,0.0,7.924011130191149e-14,4.547473508864641e-13,-0.0,566.8434448242188
767949383,SPY,20250317,548.0,C,100,SMART,USD,SPY   250317C00548000,SPY,2025-03-17 17:55:04.166048+00:00,0.01,18.68,98.0,19.69,98.0,15.77,36.0,17.0,15.54,130.0,15.18,c70003,3,567.1800000000001,,,18.68000030517578,0.0,,-2.0,-2.0,567.269775390625,1.189632429512441,0.963626208102427,19.690000534057617,0.0,0.007244725719085597,0.00852524487565276,-0.4234747794031364,567.260009765625,0.9686685592050298,0.9862219750446344,15.770000457763672,0.0,0.003923010412391879,0.00394746319770789,-0.0,567.260009765625,0.555361490727134,0.9999999999999061,19.333740234375,0.0,-5.279356986662298e-14,-1.8189894035458565e-12,-0.0,567.333740234375
